CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0152,0.999954289194027
C0001,C0011,0.9934625127648987
C0001,C0174,0.9902719390028006
C0002,C0027,0.9849257920763362
C0002,C0005,0.9789672327642406
C0002,C0159,0.9783011487024591
C0003,C0052,0.9975445687769174
C0003,C0031,0.9793944485635435
C0003,C0085,0.9743440971245247
C0004,C0113,0.9935230151233658
C0004,C0102,0.9896312074061069
C0004,C0108,0.9837283002568876
C0005,C0159,0.9999619589571945
C0005,C0007,0.9916305398369493
C0005,C0002,0.9789672327642406
C0006,C0187,0.960578775886024
C0006,C0048,0.9600819410985764
C0006,C0137,0.9270446204381041
C0007,C0159,0.9927189514763483
C0007,C0005,0.9916305398369493
C0007,C0027,0.978938637805256
C0008,C0098,0.9389786273440297
C0008,C0194,0.909422602375755
C0008,C0024,0.9028212518232493
C0009,C0132,0.9732600733198731
C0009,C0121,0.9704945315264958
C0009,C0197,0.9674022317214677
C0010,C0199,0.9974043421999839
C0010,C0166,0.9795580415524565
C0010,C0062,0.9745075696471779
C0011,C0152,0.99450861385597
C0011,C0001,0.9934625127648987
C0011,C0174,0.9679133561985722
C0012,C0013,0.9872989957672159
C0012,C0126,0.9683094212503555
C0012,C0087,0.9654978053133668
C0013,C0087,0.994607372099036
C0013,C0012,0.9872989957672159
C0013,C0126,0.9365260254016201
C0014,C0063,0.9875355759861456
C0014,C0033,0.9489998939357106
C0014,C0058,0.9479649702540707
C0015,C0042,0.9757415521992054
C0015,C0130,0.9579653953428161
C0015,C0095,0.9156531724053113
C0016,C0183,0.9999397838365325
C0016,C0018,0.9349401178607226
C0016,C0117,0.9335163204338077
C0017,C0075,0.9855189542879381
C0017,C0175,0.9281683201596675
C0017,C0021,0.9255198102106312
C0018,C0016,0.9349401178607226
C0018,C0183,0.9309901828802462
C0018,C0117,0.8955243318940949
C0019,C0119,0.8599925406249584
C0019,C0069,0.8231384234780538
C0019,C0088,0.7995014941513058
C0020,C0058,0.99604895839076
C0020,C0144,0.9933420940636435
C0020,C0033,0.9916401529321361
